yr-mn	yr	mn	id	total	pdo	fi	ped	bike	len_lane	tot_l	pdo_l	fi_l	ped_l	bike_l	time	level	trend	tsp	tsp_time	tsp_level	tsp_trend	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
2010-6	2010	6	1	89	41	48	1	1	81.06	110	51	59	1	1	186	1	97	1	186	1	97	0	0	0	0	0	1	0	0	0	0	0	0
2010-7	2010	7	1	85	46	39	2	2	81.06	105	57	48	2	2	187	1	98	1	187	1	98	0	0	0	0	0	0	1	0	0	0	0	0
2010-8	2010	8	1	95	44	51	1	4	81.06	117	54	63	1	5	188	1	99	1	188	1	99	0	0	0	0	0	0	0	1	0	0	0	0
2010-9	2010	9	1	83	38	45	0	4	81.06	102	47	56	0	5	189	1	100	1	189	1	100	0	0	0	0	0	0	0	0	1	0	0	0
2010-10	2010	10	1	92	49	43	4	1	81.06	113	60	53	5	1	190	1	101	1	190	1	101	0	0	0	0	0	0	0	0	0	1	0	0
2010-11	2010	11	1	84	44	40	10	3	81.06	104	54	49	12	4	191	1	102	1	191	1	102	0	0	0	0	0	0	0	0	0	0	1	0
2010-12	2010	12	1	110	54	56	8	2	81.06	136	67	69	10	2	192	1	103	1	192	1	103	0	0	0	0	0	0	0	0	0	0	0	1
1995-1	1995	1	2	135	109	26	0	0	103.32	131	106	25	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1995-2	1995	2	2	109	49	60	0	0	103.32	106	47	58	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1995-3	1995	3	2	101	51	50	0	0	103.32	98	49	48	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1995-4	1995	4	2	109	60	49	0	0	103.32	106	58	47	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1995-5	1995	5	2	100	74	26	0	0	103.32	97	72	25	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1995-6	1995	6	2	115	75	40	1	0	103.32	111	73	39	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1995-7	1995	7	2	51	1	50	0	3	103.32	49	1	48	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1995-8	1995	8	2	89	1	88	1	1	103.32	86	1	85	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1995-9	1995	9	2	39	24	15	0	0	103.32	38	23	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1995-10	1995	10	2	109	61	48	12	0	103.32	106	59	46	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1995-11	1995	11	2	104	64	40	0	0	103.32	101	62	39	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1995-12	1995	12	2	125	41	84	0	0	103.32	121	40	81	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1996-1	1996	1	2	135	60	75	12	0	103.32	131	58	73	12	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1996-2	1996	2	2	113	51	62	12	0	103.32	109	49	60	12	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1996-3	1996	3	2	79	63	16	0	0	103.32	76	61	15	0	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1996-4	1996	4	2	139	75	64	1	0	103.32	135	73	62	1	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1996-5	1996	5	2	89	49	40	1	0	103.32	86	47	39	1	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1996-6	1996	6	2	88	62	26	0	0	103.32	85	60	25	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1996-7	1996	7	2	90	14	76	0	1	103.32	87	14	74	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1996-8	1996	8	2	151	51	100	0	0	103.32	146	49	97	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1996-9	1996	9	2	44	13	31	0	0	103.32	43	13	30	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1996-10	1996	10	2	126	99	27	0	0	103.32	122	96	26	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1996-11	1996	11	2	62	24	38	24	0	103.32	60	23	37	23	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1996-12	1996	12	2	114	74	40	0	0	103.32	110	72	39	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1997-1	1997	1	2	189	124	65	0	0	103.32	183	120	63	0	0	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1997-2	1997	2	2	110	14	96	0	0	103.32	106	14	93	0	0	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1997-3	1997	3	2	90	50	40	1	0	103.32	87	48	39	1	0	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1997-4	1997	4	2	149	73	76	0	0	103.32	144	71	74	0	0	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1997-5	1997	5	2	62	37	25	0	1	103.32	60	36	24	0	1	29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1997-6	1997	6	2	92	75	17	0	0	103.32	89	73	16	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1997-7	1997	7	2	146	37	109	0	0	103.32	141	36	106	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1997-8	1997	8	2	89	62	27	0	0	103.32	86	60	26	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1997-9	1997	9	2	52	36	16	0	9	103.32	50	35	15	0	9	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1997-10	1997	10	2	87	27	60	0	1	103.32	84	26	58	0	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1997-11	1997	11	2	74	36	38	0	9	103.32	72	35	37	0	9	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1997-12	1997	12	2	128	62	66	26	0	103.32	124	60	64	25	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1998-1	1998	1	2	90	64	26	0	0	103.32	87	62	25	0	0	37	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1998-2	1998	2	2	150	98	52	0	0	103.32	145	95	50	0	0	38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1998-3	1998	3	2	172	37	135	12	2	103.32	166	36	131	12	2	39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1998-4	1998	4	2	114	42	72	24	3	103.32	110	41	70	23	3	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1998-5	1998	5	2	133	24	109	12	0	103.32	129	23	106	12	0	41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1998-6	1998	6	2	123	72	51	0	0	103.32	119	70	49	0	0	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1998-7	1998	7	2	175	99	76	0	10	103.32	169	96	74	0	10	43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1998-8	1998	8	2	180	96	84	0	0	103.32	174	93	81	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1998-9	1998	9	2	51	27	24	0	12	103.32	49	26	23	0	12	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1998-10	1998	10	2	25	13	12	12	0	103.32	24	13	12	12	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1998-11	1998	11	2	135	62	73	12	0	103.32	131	60	71	12	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1998-12	1998	12	2	55	54	1	0	0	103.32	53	52	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1999-1	1999	1	2	110	36	74	1	0	103.32	106	35	72	1	0	49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1999-2	1999	2	2	101	62	39	0	0	103.32	98	60	38	0	0	50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1999-3	1999	3	2	90	27	63	0	0	103.32	87	26	61	0	0	51	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1999-4	1999	4	2	161	97	64	0	0	103.32	156	94	62	0	0	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1999-5	1999	5	2	90	41	49	0	1	103.32	87	40	47	0	1	53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1999-6	1999	6	2	74	60	14	0	0	103.32	72	58	14	0	0	54	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1999-7	1999	7	2	66	50	16	0	13	103.32	64	48	15	0	13	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1999-8	1999	8	2	137	62	75	0	9	103.32	133	60	73	0	9	56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1999-9	1999	9	2	123	49	74	0	1	103.32	119	47	72	0	1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1999-10	1999	10	2	138	75	63	0	0	103.32	134	73	61	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1999-11	1999	11	2	88	39	49	12	0	103.32	85	38	47	12	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1999-12	1999	12	2	75	61	14	0	0	103.32	73	59	14	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2000-1	2000	1	2	114	52	62	12	0	103.32	110	50	60	12	0	61	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2000-2	2000	2	2	109	37	72	12	0	103.32	106	36	70	12	0	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2000-3	2000	3	2	60	36	24	0	0	103.32	58	35	23	0	0	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2000-4	2000	4	2	152	88	64	0	0	103.32	147	85	62	0	0	64	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2000-5	2000	5	2	123	86	37	0	0	103.32	119	83	36	0	0	65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2000-6	2000	6	2	89	63	26	0	3	103.32	86	61	25	0	3	66	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2000-7	2000	7	2	61	36	25	0	1	103.32	59	35	24	0	1	67	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2000-8	2000	8	2	92	65	27	0	0	103.32	89	63	26	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2000-9	2000	9	2	174	99	75	12	0	103.32	168	96	73	12	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2000-10	2000	10	2	87	61	26	0	1	103.32	84	59	25	0	1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2000-11	2000	11	2	50	50	0	0	12	103.32	48	48	0	0	12	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2000-12	2000	12	2	111	97	14	1	0	103.32	107	94	14	1	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2001-1	2001	1	2	171	111	60	0	0	103.32	166	107	58	0	0	73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2001-2	2001	2	2	123	61	62	0	0	103.32	119	59	60	0	0	74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2001-3	2001	3	2	65	38	27	0	0	103.32	63	37	26	0	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2001-4	2001	4	2	85	61	24	0	0	103.32	82	59	23	0	0	76	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2001-5	2001	5	2	160	99	61	0	2	103.32	155	96	59	0	2	77	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2001-6	2001	6	2	60	36	24	0	0	103.32	58	35	23	0	0	78	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2001-7	2001	7	2	137	86	51	0	0	103.32	133	83	49	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2001-8	2001	8	2	53	28	25	0	0	103.32	51	27	24	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2001-9	2001	9	2	75	61	14	0	0	103.32	73	59	14	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2001-10	2001	10	2	116	89	27	0	0	103.32	112	86	26	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2001-11	2001	11	2	110	85	25	12	0	103.32	106	82	24	12	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2001-12	2001	12	2	125	87	38	0	12	103.32	121	84	37	0	12	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2002-1	2002	1	2	160	75	85	0	9	103.32	155	73	82	0	9	85	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2002-2	2002	2	2	27	13	14	1	0	103.32	26	13	14	1	0	86	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2002-3	2002	3	2	111	73	38	13	0	103.32	107	71	37	13	0	87	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2002-4	2002	4	2	117	76	41	1	0	103.32	113	74	40	1	0	88	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2002-5	2002	5	2	144	96	48	0	0	103.32	139	93	46	0	0	89	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2002-6	2002	6	2	37	13	24	0	0	103.32	36	13	23	0	0	90	0.252631579	0.25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2002-7	2002	7	2	96	36	60	0	9	103.32	93	35	58	0	9	91	0.410526316	0.82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2002-8	2002	8	2	159	85	74	0	0	103.32	154	82	72	0	0	92	0.494736842	1.48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2002-9	2002	9	2	104	76	28	0	12	103.32	101	74	27	0	12	93	0.547368421	2.19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2002-10	2002	10	2	161	135	26	25	0	103.32	156	131	25	24	0	94	0.663157895	3.32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2002-11	2002	11	2	100	74	26	0	0	103.32	97	72	25	0	0	95	0.821052632	4.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2002-12	2002	12	2	128	76	52	1	0	103.32	124	74	50	1	0	96	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2003-1	2003	1	2	123	39	84	12	0	103.32	119	38	81	12	0	97	1	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2003-2	2003	2	2	125	39	86	0	0	103.32	121	38	83	0	0	98	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2003-3	2003	3	2	98	14	84	0	9	103.32	95	14	81	0	9	99	1	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2003-4	2003	4	2	107	68	39	0	0	103.32	104	66	38	0	0	100	1	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2003-5	2003	5	2	125	62	63	0	9	103.32	121	60	61	0	9	101	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2003-6	2003	6	2	102	65	37	0	0	103.32	99	63	36	0	0	102	1	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2003-7	2003	7	2	53	24	29	0	9	103.32	51	23	28	0	9	103	1	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2003-8	2003	8	2	110	74	36	12	0	103.32	106	72	35	12	0	104	1	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2003-9	2003	9	2	114	64	50	0	0	103.32	110	62	48	0	0	105	1	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2003-10	2003	10	2	99	75	24	0	0	103.32	96	73	23	0	0	106	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2003-11	2003	11	2	112	75	37	0	0	103.32	108	73	36	0	0	107	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2003-12	2003	12	2	77	40	37	0	0	103.32	75	39	36	0	0	108	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2004-1	2004	1	2	63	48	15	0	0	103.32	61	46	15	0	0	109	1	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2004-2	2004	2	2	108	60	48	0	0	103.32	105	58	46	0	0	110	1	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2004-3	2004	3	2	75	48	27	0	0	103.32	73	46	26	0	0	111	1	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2004-4	2004	4	2	109	61	48	0	3	103.32	106	59	46	0	3	112	1	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2004-5	2004	5	2	128	76	52	0	0	103.32	124	74	50	0	0	113	1	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2004-6	2004	6	2	52	37	15	0	0	103.32	50	36	15	0	0	114	1	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2004-7	2004	7	2	74	13	61	0	1	103.32	72	13	59	0	1	115	1	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2004-8	2004	8	2	52	26	26	0	0	103.32	50	25	25	0	0	116	1	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2004-9	2004	9	2	55	38	17	0	0	103.32	53	37	16	0	0	117	1	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2004-10	2004	10	2	97	37	60	12	0	103.32	94	36	58	12	0	118	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2004-11	2004	11	2	74	74	0	0	0	103.32	72	72	0	0	0	119	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2004-12	2004	12	2	52	27	25	0	12	103.32	50	26	24	0	12	120	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2005-1	2005	1	2	77	52	25	0	1	103.32	75	50	24	0	1	121	1	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2005-2	2005	2	2	62	25	37	12	0	103.32	60	24	36	12	0	122	1	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2005-3	2005	3	2	50	25	25	12	0	103.32	48	24	24	12	0	123	1	34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2005-4	2005	4	2	100	50	50	12	0	103.32	97	48	48	12	0	124	1	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2005-5	2005	5	2	86	61	25	0	0	103.32	83	59	24	0	0	125	1	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2005-6	2005	6	2	115	51	64	0	9	103.32	111	49	62	0	9	126	1	37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2005-7	2005	7	2	103	42	61	12	0	103.32	100	41	59	12	0	127	1	38	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2005-8	2005	8	2	137	61	76	0	19	103.32	133	59	74	0	18	128	1	39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2005-9	2005	9	2	103	52	51	0	0	103.32	100	50	49	0	0	129	1	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2005-10	2005	10	2	68	41	27	0	0	103.32	66	40	26	0	0	130	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2005-11	2005	11	2	104	91	13	0	0	103.32	101	88	13	0	0	131	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2005-12	2005	12	2	139	88	51	0	0	103.32	135	85	49	0	0	132	1	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2006-1	2006	1	2	74	50	24	12	0	103.32	72	48	23	12	0	133	1	44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2006-2	2006	2	2	39	12	27	0	0	103.32	38	12	26	0	0	134	1	45	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2006-3	2006	3	2	57	26	31	0	0	103.32	55	25	30	0	0	135	1	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2006-4	2006	4	2	39	13	26	0	0	103.32	38	13	25	0	0	136	1	47	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2006-5	2006	5	2	114	39	75	0	0	103.32	110	38	73	0	0	137	1	48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2006-6	2006	6	2	83	6	77	0	0	103.32	80	6	75	0	0	138	1	49	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2006-7	2006	7	2	55	3	52	0	3	103.32	53	3	50	0	3	139	1	50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2006-8	2006	8	2	137	39	98	0	3	103.32	133	38	95	0	3	140	1	51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2006-9	2006	9	2	90	41	49	0	12	103.32	87	40	47	0	12	141	1	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2006-10	2006	10	2	102	52	50	1	0	103.32	99	50	48	1	0	142	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2006-11	2006	11	2	99	63	36	0	0	103.32	96	61	35	0	0	143	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2006-12	2006	12	2	98	38	60	12	0	103.32	95	37	58	12	0	144	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2007-1	2007	1	2	113	38	75	12	0	103.32	109	37	73	12	0	145	1	56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2007-2	2007	2	2	122	109	13	0	0	103.32	118	106	13	0	0	146	1	57	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2007-3	2007	3	2	38	25	13	0	1	103.32	37	24	13	0	1	147	1	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2007-4	2007	4	2	99	49	50	0	0	103.32	96	47	48	0	0	148	1	59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2007-5	2007	5	2	115	66	49	0	0	103.32	111	64	47	0	0	149	1	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2007-6	2007	6	2	103	54	49	1	1	103.32	100	52	47	1	1	150	1	61	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2007-7	2007	7	2	114	62	52	0	0	103.32	110	60	50	0	0	151	1	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2007-8	2007	8	2	76	38	38	0	0	103.32	74	37	37	0	0	152	1	63	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2007-9	2007	9	2	51	38	13	1	24	103.32	49	37	13	1	23	153	1	64	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2007-10	2007	10	2	111	73	38	0	0	103.32	107	71	37	0	0	154	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2007-11	2007	11	2	133	121	12	0	0	103.32	129	117	12	0	0	155	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2007-12	2007	12	2	104	63	41	1	0	103.32	101	61	40	1	0	156	1	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2008-1	2008	1	2	53	27	26	0	0	103.32	51	26	25	0	0	157	1	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2008-2	2008	2	2	111	51	60	0	0	103.32	107	49	58	0	0	158	1	69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2008-3	2008	3	2	84	72	12	0	0	103.32	81	70	12	0	0	159	1	70	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2008-4	2008	4	2	29	26	3	0	0	103.32	28	25	3	0	0	160	1	71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2008-5	2008	5	2	88	61	27	0	9	103.32	85	59	26	0	9	161	1	72	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2008-6	2008	6	2	77	51	26	0	1	103.32	75	49	25	0	1	162	1	73	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2008-7	2008	7	2	64	26	38	0	0	103.32	62	25	37	0	0	163	1	74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2008-8	2008	8	2	62	12	50	0	0	103.32	60	12	48	0	0	164	1	75	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2008-9	2008	9	2	101	64	37	0	1	103.32	98	62	36	0	1	165	1	76	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2008-10	2008	10	2	145	85	60	0	0	103.32	140	82	58	0	0	166	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2008-11	2008	11	2	66	48	18	0	1	103.32	64	46	17	0	1	167	1	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2008-12	2008	12	2	41	17	24	0	0	103.32	40	16	23	0	0	168	1	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2009-1	2009	1	2	176	76	100	0	0	103.32	170	74	97	0	0	169	1	80	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2009-2	2009	2	2	39	14	25	0	0	103.32	38	14	24	0	0	170	1	81	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2009-3	2009	3	2	50	14	36	0	0	103.32	48	14	35	0	0	171	1	82	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2009-4	2009	4	2	43	15	28	0	1	103.32	42	15	27	0	1	172	1	83	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2009-5	2009	5	2	111	39	72	0	1	103.32	107	38	70	0	1	173	1	84	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2009-6	2009	6	2	123	51	72	0	12	103.32	119	49	70	0	12	174	1	85	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2009-7	2009	7	2	63	24	39	12	0	103.32	61	23	38	12	0	175	1	86	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2009-8	2009	8	2	77	14	63	0	0	103.32	75	14	61	0	0	176	1	87	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2009-9	2009	9	2	103	65	38	1	0	103.32	100	63	37	1	0	177	1	88	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2009-10	2009	10	2	76	38	38	0	0	103.32	74	37	37	0	0	178	1	89	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2009-11	2009	11	2	69	54	15	0	0	103.32	67	52	15	0	0	179	1	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2009-12	2009	12	2	122	49	73	0	0	103.32	118	47	71	0	0	180	1	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
